DATAFLOW,FREQ,REF_AREA,DATA_TYPE,PURCHASE_PRODUCTS,SOLD_PRODUCTS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_PURCHASE_PRODUCTS,NOTE_SOLD_PRODUCTS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2016,98.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2017,106.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2018,102.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2019,103.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2020,99.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2021,106.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2022,130.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2023,138.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2016,92.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2017,103.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2018,104.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2019,109,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2020,107.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2021,107.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2022,137.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2023,149.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2016,95.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2017,105.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2018,103.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2019,105.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2020,103.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2021,106.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2022,133.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2023,143.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2016,98.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2017,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2018,101.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2019,100.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2020,97.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2021,101.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2022,122.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2023,130.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2016,91.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2017,90.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2018,94.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2019,96.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2020,101.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2021,134.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2022,189.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2023,147.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2016,97.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2017,105,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2018,107.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2019,108.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2020,111.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2021,124.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2022,147.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2023,147.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2016,96.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2017,101.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2018,106.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2019,104,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2020,104.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2021,125.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2022,161.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2023,149.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2016,101.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2017,112.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2018,135.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2019,125.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2020,121.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2021,143.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2022,202.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2023,192.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2016,94.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2017,109.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2018,103,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2019,113.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2020,114.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2021,116.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2022,136.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRESHETABL,2023,142.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2016,104.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2017,106.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2018,116.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2019,110.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2020,119.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2021,134,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2022,132.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FRUIT,2023,152.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2016,99.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2017,104.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2018,98.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2019,96.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2020,103.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2021,131,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2022,147.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,INDUSLCRO,2023,135,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2016,91.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2017,112,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2018,100.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2019,99,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2020,93.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2021,103,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2022,114.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,OLIVE,2023,144.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2016,106.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2017,122.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2018,105.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2019,105.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2020,100.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2021,108.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2022,128,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PIGS,2023,156.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2016,101.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2017,105.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2018,104.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2019,110.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2020,115.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2021,120,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2022,133.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,PLANTDFLO,2023,137,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2016,119.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2017,113.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2018,108.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2019,119.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2020,116.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2021,119.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2022,139.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POTAT,2023,194.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2016,89.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2017,98.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2018,99.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2019,98,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2020,97.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2021,106,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2022,141.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,POULT,2023,130.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2016,96.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2017,95.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2018,93.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2019,95.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2020,96.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2021,98.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2022,110.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,SHEEPGOAT,2023,115.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2016,97,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2017,105,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2018,105.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2019,107.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2020,108.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2021,117.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2022,141.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT,2023,145.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2016,96,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2017,103.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2018,104.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2019,105.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2020,103.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2021,114.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2022,144.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,TOTAGRICOUT_NOFV,2023,145.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2016,95.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2017,109.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2018,103.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2019,112.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2020,115,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2021,117.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2022,136.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,VEGETSAND,2023,141.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2016,78.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2017,78.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2018,81.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2019,86.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2020,96.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2021,127.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2022,174.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WHEATSPEL,2023,132.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WINE,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WINE,2016,99.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WINE,2017,105.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WINE,2018,118.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,WINE,2019,107.7,,,,,,,,,,
