data;temperatura_massima;temperatura_minima
01/01/2017;9,4;-2,2
02/01/2017;10,9;4,8
03/01/2017;10,3;4,3
04/01/2017;9,9;-0,5
05/01/2017;9,8;2,5
06/01/2017;4,5;-0,6
07/01/2017;4,6;-4,0
08/01/2017;5,7;-2,4
09/01/2017;8,4;-3,7
10/01/2017;6,8;-2,0
11/01/2017;8,2;-0,1
12/01/2017;6,6;1,6
13/01/2017;12,9;1,1
14/01/2017;8,1;-2,7
15/01/2017;7,2;0,8
16/01/2017;5,0;2,1
17/01/2017;4,4;2,1
18/01/2017;5,7;3,9
19/01/2017;7,1;4,0
20/01/2017;9,2;3,5
21/01/2017;9,0;-0,4
22/01/2017;11,3;2,4
23/01/2017;12,4;6,0
24/01/2017;13,5;8,2
25/01/2017;12,3;3,2
26/01/2017;12,8;0,4
27/01/2017;13,7;0,4
28/01/2017;14,3;1,8
29/01/2017;15,3;1,0
30/01/2017;11,6;1,3
31/01/2017;11,2;6,6
01/02/2017;13,7;10,1
02/02/2017;14,0;11,1
03/02/2017;16,8;10,9
04/02/2017;14,1;9,4
05/02/2017;14,0;10,3
06/02/2017;11,2;8,2
07/02/2017;14,3;6,6
08/02/2017;12,4;4,7
09/02/2017;9,3;6,5
10/02/2017;10,8;5,9
11/02/2017;16,3;3,6
12/02/2017;17,2;7,6
13/02/2017;17,1;6,5
14/02/2017;16,4;4,6
15/02/2017;17,6;2,3
16/02/2017;16,4;1,8
17/02/2017;14,2;10,3
18/02/2017;15,9;5,4
19/02/2017;15,9;1,6
20/02/2017;16,3;2,9
21/02/2017;15,2;3,6
22/02/2017;15,5;5,8
23/02/2017;16,1;11,2
24/02/2017;13,6;10,3
25/02/2017;13,0;8,0
26/02/2017;18,1;5,9
27/02/2017;16,4;2,4
28/02/2017;16,5;8,2